,coefs,pval
517,Canonical_variate_18_Canonical variate x e2/4,0.222
518,Canonical_variate_19_Canonical variate x e2/4,0.332
519,Canonical_variate_20_Canonical variate x e2/4,0.315
520,Canonical_variate_21_Canonical variate x e2/4,0.282
521,Canonical_variate_22_Canonical variate x e2/4,0.097
522,Canonical_variate_23_Canonical variate x e2/4,0.212
523,Canonical_variate_24_Canonical variate x e2/4,0.317
524,Canonical_variate_25_Canonical variate x e2/4,0.23
525,Canonical_variate_26_Canonical variate x e2/4,0.239
526,Canonical_variate_27_Canonical variate x e2/4,0.208
527,Canonical_variate_28_Canonical variate x e2/4,0.005
528,Canonical_variate_29_Canonical variate x e2/4,0.165
529,Canonical_variate_30_Canonical variate x e2/4,0.315
530,Canonical_variate_31_Canonical variate x e2/4,0.256
531,Canonical_variate_32_Canonical variate x e2/4,0.0
532,Canonical_variate_33_Canonical variate x e2/4,0.271
533,Canonical_variate_34_Canonical variate x e2/4,0.171
